"Genre","Titel","Spielfilmlänge","Bewertung","Wählerstimmen","Einnahmen","Metascore"
"936","Action","Talladega Nights: The Ballad of Ricky Bobby",108,6.6,137502,148.21,66
"937","Horror","The Human Centipede (First Sequence)",92,4.4,60655,0.18,33
"938","Comedy","Super",96,6.8,64535,0.32,50
"939","Action","The Siege of Jadotville",108,7.3,14689,NA,83
"940","Drama","Up in the Air",109,7.4,279694,83.81,NA
"941","Horror","The Midnight Meat Train",98,6.1,50255,0.07,58
"942","Adventure","The Twilight Saga: Eclipse",124,4.9,192740,300.52,58
"943","Thriller","Transpecos",86,5.8,1292,NA,73
"944","Comedy","What's Your Number?",106,6.1,62095,13.99,35
"945","Action","Riddick",119,6.4,132098,42,49
"946","Fantasy","Triangle",99,6.9,72533,NA,66
"947","Biography","The Butler",132,7.2,93322,116.63,NA
"948","Crime","King Cobra",91,5.6,3990,0.03,48
"949","Action","After Earth",100,4.9,166512,60.52,33
"950","Adventure","Kicks",80,6.1,2417,0.15,69
"951","Comedy","Me and Earl and the Dying Girl",105,7.8,92076,6.74,74
"952","Comedy","The Descendants",115,7.3,211348,82.62,84
"953","Comedy","Sex and the City 2",146,4.3,62403,95.33,27
"954","Adventure","The Kings of Summer",95,7.2,65653,1.29,61
"955","Action","Death Race",105,6.4,173731,36.06,43
"956","Comedy","That Awkward Moment",94,6.2,81823,26.05,36
"957","Action","Legion",100,5.2,84158,40.17,32
"958","Crime","End of Watch",109,7.7,192190,40.98,68
"959","Action","3 Days to Kill",117,6.2,73567,30.69,40
"960","Crime","Lucky Number Slevin",110,7.8,271940,22.49,53
"961","Crime","Trance",101,7,97141,2.32,61
"962","Drama","Into the Forest",101,5.9,10220,0.01,59
"963","Biography","The Other Boleyn Girl",115,6.7,88260,26.81,50
"964","Crime","I Spit on Your Grave",108,6.3,60133,0.09,27
"965","Drama","Custody",104,6.9,280,NA,72
"966","Drama","Inland Empire",180,7,44227,NA,NA
"967","Adventure","L'odyssée",122,6.7,1810,NA,70
"968","Adventure","The Walk",123,7.3,92378,10.14,NA
"969","Action","Wrecker",83,3.5,1210,NA,37
"970","Action","The Lone Ranger",150,6.5,190855,89.29,NA
"971","Horror","Texas Chainsaw 3D",92,4.8,37060,34.33,62
"972","Drama","Disturbia",105,6.9,193491,80.05,NA
"973","Comedy","Rock of Ages",123,5.9,64513,38.51,47
"974","Horror","Scream 4",111,6.2,108544,38.18,52
"975","Biography","Queen of Katwe",124,7.4,6753,8.81,73
"976","Comedy","My Big Fat Greek Wedding 2",94,6,20966,59.57,37
"977","Drama","Dark Places",113,6.2,31634,NA,39
"978","Comedy","Amateur Night",92,5,2229,NA,38
"979","Drama","It's Only the End of the World",97,7,10658,NA,48
"980","Drama","The Skin I Live In",120,7.6,108772,3.19,70
"981","Biography","Miracles from Heaven",109,7,12048,61.69,44
"982","Comedy","Annie",118,5.3,27312,85.91,33
"983","Drama","Across the Universe",133,7.4,95172,24.34,56
"984","Comedy","Let's Be Cops",104,6.5,112729,82.39,30
"985","Adventure","Max",111,6.8,21405,42.65,47
"986","Adventure","Your Highness",102,5.6,87904,21.56,31
"987","Horror","Final Destination 5",92,5.9,88000,42.58,50
"988","Drama","Endless Love",104,6.3,33688,23.39,30
"989","Horror","Martyrs",99,7.1,63785,NA,89
"990","Biography","Selma",128,7.5,67637,52.07,NA
"991","Action","Underworld: Rise of the Lycans",92,6.6,129708,45.8,44
"992","Drama","Taare Zameen Par",165,8.5,102697,1.2,42
"993","Comedy","Take Me Home Tonight",97,6.3,45419,6.92,NA
"994","Action","Resident Evil: Afterlife",97,5.9,140900,60.13,37
"995","Comedy","Project X",88,6.7,164088,54.72,48
"996","Crime","Secret in Their Eyes",111,6.2,27585,NA,45
"997","Horror","Hostel: Part II",94,5.5,73152,17.54,46
"998","Drama","Step Up 2: The Streets",98,6.2,70699,58.01,50
"999","Adventure","Search Party",93,5.6,4881,NA,22
"1000","Comedy","Nine Lives",87,5.3,12435,19.64,11
